
2024/02/15 (20:06:16) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/15 (20:06:30) | ===> btop++ v.1.3.2
2024/02/15 (20:06:30) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/17 (16:13:22) | ===> btop++ v.1.3.2
2024/02/17 (16:13:22) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/17 (23:31:59) | ===> btop++ v.1.3.2
2024/02/17 (23:31:59) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/19 (11:39:31) | ===> btop++ v.1.3.2
2024/02/19 (11:39:31) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/22 (16:03:14) | ===> btop++ v.1.3.2
2024/02/22 (16:03:14) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/24 (19:19:17) | ===> btop++ v.1.3.2
2024/02/24 (19:19:17) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/24 (19:31:46) | ===> btop++ v.1.3.2
2024/02/24 (19:31:46) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/27 (13:23:54) | ===> btop++ v.1.3.2
2024/02/27 (13:23:54) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/27 (14:22:37) | ===> btop++ v.1.3.2
2024/02/27 (14:22:37) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/27 (14:22:53) | ===> btop++ v.1.3.2
2024/02/27 (14:22:53) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/27 (14:24:20) | ===> btop++ v.1.3.2
2024/02/27 (14:24:20) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/27 (14:42:55) | ===> btop++ v.1.3.2
2024/02/27 (14:42:55) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/27 (14:50:53) | ===> btop++ v.1.3.2
2024/02/27 (14:50:53) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/27 (20:41:33) | ===> btop++ v.1.3.2
2024/02/27 (20:41:33) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/03/01 (14:31:39) | ===> btop++ v.1.3.2
2024/03/01 (14:31:39) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/03/01 (14:44:12) | ===> btop++ v.1.3.2
2024/03/01 (14:44:12) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

